"","long","lat","depth","distance"
"1",-81.1499999995751,-8.43333333284894,-5.30697759048775,0
"2",-81.1499999995751,-8.41666666618225,-5.21956190134013,0.735987687769011
"3",-81.1333333329084,-8.41666666618225,-5.46533972216941,2.41659814556289
"4",-81.1166666662418,-8.41666666618225,-5.73776676444835,4.10050434355821
"5",-81.0999999995751,-8.41666666618225,-6.00907127907497,5.78760557900543
"6",-81.0999999995751,-8.39999999951555,-6.06312514196664,6.51861582024065
"7",-81.0833333329084,-8.39999999951555,-6.33272489756588,8.20152313305204
"8",-81.0666666662417,-8.39999999951555,-6.6011551305261,9.88756887950902
"9",-81.0666666662417,-8.38333333284885,-6.65511110934025,10.6210740756038
"10",-81.049999999575,-8.38333333284885,-6.92225155077205,12.3030291887185
"11",-81.0333333329084,-8.38333333284885,-7.18821155532825,13.9880678791862
"12",-81.0333333329084,-8.36666666618216,-7.24238513084811,14.7239512937017
"13",-81.0166666662417,-8.36666666618216,-7.50720292497697,16.404997834889
"14",-80.999999999575,-8.36666666618216,-7.77083731519081,18.0890747839753
"15",-80.9833333329083,-8.36666666618216,-8.03085675002118,19.7760967595076
"16",-80.9833333329083,-8.34999999951546,-8.08587826122563,20.5074066154467
"17",-80.9666666662416,-8.34999999951546,-8.34182342704946,22.1905642789979
"18",-80.9499999995749,-8.34999999951546,-8.59362912977649,23.8766187992586
"19",-80.9499999995749,-8.33333333284876,-8.64979665287065,24.6102350471753
"20",-80.9333333329083,-8.33333333284876,-8.89811887473275,26.2925132556977
"21",-80.9166666662416,-8.33333333284876,-9.14274550266476,27.9776415254705
"22",-80.9166666662416,-8.31666666618206,-9.20041024146107,28.7134644052894
"23",-80.8999999995749,-8.31666666618206,-9.44213581862597,30.3949005742094
"24",-80.8833333329082,-8.31666666618206,-9.67986801714975,32.0791413391553
"25",-80.8666666662415,-8.31666666618206,-9.91465452754566,33.766113391925
"26",-80.8666666662415,-8.29999999951536,-9.97493522149077,34.4977068557703
"27",-80.8499999995748,-8.29999999951536,-10.2077775078589,36.1810965924624
"28",-80.8333333329082,-8.29999999951536,-10.4381049550642,37.8671761274496
"29",-80.8333333329082,-8.28333333284867,-10.500916594662,38.6009143008359
"30",-80.8166666662415,-8.28333333284867,-10.7298610286831,40.2834873889458
"31",-80.7999999995748,-8.28333333284867,-10.9567151145758,41.968709886034
"32",-80.7999999995748,-8.26666666618197,-11.0222444610976,42.7045065292739
"33",-80.7833333329081,-8.26666666618197,-11.2478750623767,44.3862954078759
"34",-80.7666666662414,-8.26666666618197,-11.4719560488073,46.0706943736085
"35",-80.7499999995748,-8.26666666618197,-11.6946695722412,47.757639800686
"36",-80.7499999995748,-8.24999999951527,-11.764465339771,48.4895037492448
"37",-80.7333333329081,-8.24999999951527,-11.9872392096076,50.1731108590927
"38",-80.7166666662414,-8.24999999951527,-12.2090551930752,51.8592283217533
"39",-80.7166666662414,-8.23333333284858,-12.2823445610335,52.5930967967235
"40",-80.6999999995747,-8.23333333284858,-12.5047369081815,54.2759420248722
"41",-80.683333332908,-8.23333333284858,-12.7265101617698,55.9612623917454
"42",-80.6666666662414,-8.23333333284858,-12.948027406779,57.6490002771552
"43",-80.6666666662414,-8.21666666618188,-13.0265825669558,58.3791718340977
"44",-80.6499999995747,-8.21666666618188,-13.249522614583,60.0637243662762
"45",-80.633333332908,-8.21666666618188,-13.4725993555371,61.7506619504852
"46",-80.633333332908,-8.19999999951518,-13.5553433182277,62.4827854126472
"47",-80.6166666662413,-8.19999999951518,-13.7803233547092,64.1665978722982
"48",-80.5999999995746,-8.19999999951518,-14.0058260047245,65.8527636735563
"49",-80.5999999995746,-8.18333333284848,-14.0933518493416,66.5867689438969
"50",-80.5833333329079,-8.18333333284848,-14.3214825343493,68.2698676939402
"51",-80.5666666662412,-8.18333333284848,-14.5506303660306,69.955288812122
"52",-80.5499999995746,-8.18333333284848,-14.7809692309773,71.6429815037767
"53",-80.5499999995746,-8.16666666618178,-14.8749996907947,72.373519670419
"54",-80.5333333329079,-8.16666666618178,-15.1084769654714,74.0582218785534
"55",-80.5166666662412,-8.16666666618178,-15.3435127029347,75.7451669611649
"56",-80.5166666662412,-8.14999999951509,-15.442581503644,76.4775406045572
"57",-80.4999999995745,-8.14999999951509,-15.6811781020679,78.1615484331858
"58",-80.4833333329078,-8.14999999951509,-15.9222431274518,79.8477710666797
"59",-80.4833333329078,-8.13333333284839,-16.0265484478733,80.5819181806672
"60",-80.4666666662412,-8.13333333284839,-16.271693556964,82.2652549956472
"61",-80.4499999995745,-8.13333333284839,-16.5192187722462,83.9507791602518
"62",-80.4333333329078,-8.13333333284839,-16.7692924172371,85.6384455606889
"63",-80.4333333329078,-8.11666666618169,-16.8809194662645,86.3693289650398
"64",-80.4166666662411,-8.11666666618169,-17.1356269617845,88.0541775331159
"65",-80.3999999995744,-8.11666666618169,-17.393221547359,89.7411427858349
"66",-80.3999999995744,-8.09999999951499,-17.5104217631317,90.4737585479613
"67",-80.3833333329078,-8.09999999951499,-17.7738345566661,92.15795335049
"68",-80.3666666662411,-8.09999999951499,-18.0405737663219,93.8442398159603
"69",-80.3666666662411,-8.0833333328483,-18.1639220024558,94.5785326934679
"70",-80.3499999995744,-8.0833333328483,-18.4360876189785,96.2620945816805
"71",-80.3333333329077,-8.0833333328483,-18.7118976489265,97.9477236286792
"72",-80.316666666241,-8.0833333328483,-18.9915146937699,99.6353794992185
"73",-80.316666666241,-8.0666666661816,-19.1225658104085,100.366589936777
"74",-80.2999999995743,-8.0666666661816,-19.4080588135948,102.051581999522
