id,distance,adj.depth,depth,m,temp,adj.temp,stress,adj.stress,sector
218,43.97480117,-20,-20,4.4,297.13,297.13,-20.29,-20.29,western
219,56.64951754,-31.5,-31.5,3.8,457.78,457.78,-98.16,-98.16,eastern
220,104.9134477,-27.6,-27.6,5.3,163.94,163.94,0,0,eastern
221,76.38651363,-15,-15,6.1,102.51,102.51,0,0,eastern
222,81.49330751,-23.5,-23.5,4.5,158.91,158.91,-0.51,-0.51,eastern
223,90.24428856,-24.6,-24.6,4.5,161.63,161.63,-0.45,-0.45,eastern
224,93.44459098,-25,-25,4.7,159.32,159.32,-0.37,-0.37,eastern
225,52.61331702,-15,-15,4.9,130.32,130.32,-0.35,-0.35,western
226,81.70095003,-13.9,-13.9,5.3,86.24,86.24,0,0,eastern
227,85.76355277,-12.2,-12.2,5,84.56,84.56,0,0,eastern
228,94.19577312,-21.4,-21.4,3.8,132.68,132.68,0,0,eastern
229,20.07149086,-15,-15,4.7,274.31,274.31,-21.69,-21.69,eastern
230,95.14617357,-18.5,-18.5,5.2,119.99,119.99,0,0,eastern
231,43.06683321,-22.3,-22.3,4.9,352.43,352.43,-81.24,-81.24,eastern
232,96.23115841,-19.5,-19.5,5.5,119.05,119.05,0,0,eastern
233,61.56651305,-15,-15,5.3,117.01,117.01,-0.12,-0.12,eastern
234,64.53788063,-13.6,-13.6,4.8,95.3,95.3,0,0,eastern
235,103.4596887,-27.8,-27.8,4.2,164.87,164.87,0,0,eastern
236,56.1047255,-12.3,-12.3,5.4,101.66,101.66,-0.49,-0.49,eastern
237,60.26592638,-15.5,-15.5,5.2,117.01,117.01,-0.12,-0.12,eastern
238,239.3026315,-59.28273894,-53.6,5.9,545.1,459.37,0,-0.09,western
239,103.1234729,-32.1,-32.1,5.1,204.3,204.3,-0.19,-0.19,western
240,89.2985024,-29.9,-29.9,5.3,199.33,199.33,0.31,0.31,western
241,87.10608176,-22.9,-22.9,6.2,151.29,151.29,0,0,western
242,78.03624853,-29,-29,5.3,249.79,249.79,0.22,0.22,western
243,63.20425153,-22.3,-22.3,5,216.76,216.76,0.32,0.32,western
244,50.61713976,-20.6,-20.6,5.1,242.57,242.57,-9.94,-9.94,western
245,290,-60.76314685,-56,7.1,660.41,578.4,4.08,-0.18,western
