"","tp","ta","lat","long"
"190",36,331,-6.08,-76.63
"191",7,249,-12.87,-70.93
"192",25,14,-2.83,-80.59
"193",26,355,-7.28,-76.76
"194",75,109,-19.99,-70.97
"195",32,36,-2.16,-76.77
"196",69,83,-19.92,-70.93
"197",42,95,5.38,-73.58
"198",22,69,-20.38,-68.87
"199",56,179,-0.3,-77.91
"200",7,54,-16.38,-71.11
"201",15,287,-15.15,-72.8
"202",2,55,-15.31,-70.83
"203",8,51,-15.19,-70.82
"204",8,9,4.74,-77.25
"205",67,83,0.85,-79.79
"206",56,82,-10.89,-78.8
"207",27,255,-9.97,-70.97
"208",65,179,0.88,-79.71
"209",1,322,2.27,-84.4
"210",48,45,0.9,-79.75
"211",70,128,0.94,-79.63
"212",2,215,-13.53,-75.11
"213",4,244,-17.15,-69.8
"214",58,294,-10.28,-75.45
"215",28,91,-17.23,-69.1
"216",33,57,-17.71,-71.08
"217",20,53,-1.42,-77.78
"218",22,92,-19.59,-69.82
"219",40,70,-15.67,-71.75
"220",11,45,-1.44,-77.97
"221",60,83,-7.01,-80.49
"222",6,324,1.1,-85.21
"223",2,325,1.05,-85.26
"224",62,86,-7.17,-80.61
"225",69,54,-20.17,-70.04
"226",5,326,5.58,-77.96
"227",45,113,-15.31,-72.27
"228",30,104,-21.35,-68.39
"229",7,307,3.97,-78.75
"230",58,86,-13.58,-76.56
"231",23,84,-2.53,-78.89
"232",59,74,-6.57,-81.15
"233",7,322,2.27,-84.46
"234",64,73,-5.85,-80.89
"235",9,54,-2.7,-78.2
"236",61,72,-16.67,-73.44
"237",5,318,5.7,-82.3
"238",77,65,-1.18,-80.39
"239",6,115,-19.97,-68.83
"240",32,87,-20.39,-68.9
"241",57,322,0.66,-79.26
"242",12,238,-15.64,-74.16
"243",14,342,5.51,-82.5
"244",19,129,1.13,-77.39
"245",33,75,-21.79,-68.58
"246",16,175,-15.7,-71.31
"247",7,165,-15.75,-71.43
"248",15,187,-15.83,-71.5
"249",68,127,-15.91,-74.02
"250",62,88,-21.38,-69.52
"251",54,278,-14.16,-75.6
"252",12,238,-3.91,-76.62
"253",5,317,5.22,-82.62
"254",6,133,5.28,-82.67
"255",7,144,2.32,-84.49
"256",25,55,4.67,-76.18
"257",17,71,2.73,-76.5
"258",11,209,-15.7,-71.99
"259",3,136,3.94,-82.7
"260",29,50,-16.92,-70.81
"261",17,140,1.24,-85.28
"262",59,108,-16.44,-73.6
"263",15,192,-15.72,-71.82
"264",0,348,-15.71,-71.8
"265",40,82,-20.9,-69
"266",70,213,3.45,-74.67
"267",2,248,-15.09,-73.98
"268",85,244,-5.15,-74.91
"269",24,61,-15.83,-71.64
"270",10,74,-19.49,-69.09
"271",24,65,-1.4,-77.7
"272",25,119,-8.32,-74.24
"273",21,58,-1.59,-77.69
"274",5,60,-2.79,-77.35
"275",18,119,4.7,-75.67
"276",6,86,-7.65,-74.46
"277",7,89,-9.55,-74.65
"278",38,141,-15.64,-73.94
"279",52,50,-10.57,-78.5
"280",7,223,-11.24,-79.29
"281",6,46,-1.46,-77.73
"282",26,95,-16.63,-73.38
"283",20,114,4.6,-72.61
"284",29,104,-21.64,-68.63
"285",9,244,-15.17,-74.73
"286",11,13,-2.88,-80.39
"287",26,135,-18.92,-67.71
"288",18,252,-8.11,-71.4
"289",25,76,-19.41,-69.07
"290",50,12,-8.8,-77.72
"291",28,116,-16.48,-74.03
"292",17,22,-8.5,-74.47
"293",5,93,4.72,-75.97
"294",4,320,1.25,-85.25
"295",6,145,0.75,-85.25
"296",71,197,-12.14,-73.04
"297",74,51,-19.88,-70.39
"298",74,83,-0.74,-80.28
"299",6,288,-14.89,-72.67
"300",9,299,-3.04,-82.7
"301",14,46,-21.46,-66.44
"302",69,114,-14.17,-75.63
"303",28,83,-18.01,-69.45
"304",31,87,-20.06,-69.05
"305",68,72,-5.74,-80.66
"306",69,85,-20.69,-70.79
"307",34,143,4.56,-76.64
"308",66,80,-20.77,-70.65
"309",27,101,-20.99,-69.73
"310",67,82,-20.75,-70.63
"311",10,359,2.97,-75.84
